scenario_id,charging_mechanism,spklu_locations,extra_bus_total,avg_headway_all_routes,total_gap_too_wide,total_breach_hard_limit,soc_zero_count,queue_timeout_count,routes_degraded_count,headway_comparable
s0_asis_mikro,full_opportunity,SPKLU-ADI,0,34.48,1,0,0,0,0,true
s10_dynamic_n40,mix,SPKLU-ADI+JOM+CON+GIW,0,19.49,94,0,0,11,4,false
s11_v2_r14_n1,full_opportunity,SPKLU-ADI+JOM+CON+GIW,0,null,0,0,0,2,1,false
s13_dynamic_v2_n40,mix,SPKLU-ADI+JOM+CON+GIW,0,19.58,101,0,0,10,3,false
s1_baseline_opportunity,full_opportunity,SPKLU-ADI,0,null,0,0,0,112,20,false
s1_baseline_opportunity_n50,full_opportunity,SPKLU-ADI,0,32.45,27,0,0,53,15,false
s2_full_depot,full_depot,Depot only,0,null,0,124,124,0,20,false
s3_mix_charging,mix,SPKLU-ADI,0,null,0,0,0,112,20,false
s3_mix_charging_n50,mix,SPKLU-ADI,0,32.45,27,0,0,53,15,false
s3b_mix_4spklu_nobus,mix,SPKLU-ADI+JOM+CON+GIW,0,37.17,2,0,0,86,19,false
s3b_mix_4spklu_nobus_n50,mix,SPKLU-ADI+JOM+CON+GIW,0,19.37,106,0,0,6,2,false
s4_mix_extra_bus,mix,SPKLU-ADI,20,null,0,0,0,132,20,false
s4_mix_extra_bus_n50,mix,SPKLU-ADI,20,24.94,27,0,0,60,15,false
s5_mix_all_spklu_extra,mix,SPKLU-ADI+JOM+CON+GIW,20,25.49,2,0,0,104,19,false
s5_mix_all_spklu_extra_n50,mix,SPKLU-ADI+JOM+CON+GIW,20,16.19,101,0,0,10,3,false
s6_3_n12,mix,SPKLU-ADI+JOM+CON+GIW,0,23.45,28,0,0,50,15,false
s6_3_n5,mix,SPKLU-ADI+JOM+CON+GIW,0,30.36,50,0,0,32,12,false
s6_3_n8,mix,SPKLU-ADI+JOM+CON+GIW,0,25.81,40,0,0,36,14,false
s6_3a_n2,mix,SPKLU-ADI+JOM+CON+GIW,0,37.17,2,0,0,86,19,false
s6_3b_n1,mix,SPKLU-ADI+JOM+CON+GIW,0,37.17,2,0,0,105,19,false
s6_3c_n3,mix,SPKLU-ADI+JOM+CON+GIW,0,29.29,10,0,0,69,18,false
s6_3d_n_optimal_extra,mix,SPKLU-ADI+JOM+CON+GIW,20,25.49,2,0,0,104,19,false
s6_3x_unlimited,mix,SPKLU-ADI+JOM+CON+GIW,0,19.37,106,0,0,6,2,false
s6_inf_n100,mix,SPKLU-ADI+JOM+CON+GIW,0,19.37,106,0,0,6,2,false
s6_test_n10,mix,SPKLU-ADI+JOM+CON+GIW,0,22.96,48,0,0,41,13,false
s6_test_n100,mix,SPKLU-ADI+JOM+CON+GIW,0,19.37,106,0,0,6,2,false
s6_test_n12,mix,SPKLU-ADI+JOM+CON+GIW,0,23.45,28,0,0,50,15,false
s6_test_n16,mix,SPKLU-ADI+JOM+CON+GIW,0,21.49,26,0,0,60,16,false
s6_test_n20,mix,SPKLU-ADI+JOM+CON+GIW,0,20.22,46,0,0,54,13,false
s6_test_n30,mix,SPKLU-ADI+JOM+CON+GIW,0,19.33,49,0,0,30,11,false
s6_test_n40,mix,SPKLU-ADI+JOM+CON+GIW,0,19.49,94,0,0,11,4,false
s6_test_n5,mix,SPKLU-ADI+JOM+CON+GIW,0,30.36,50,0,0,32,12,false
s6_test_n50,mix,SPKLU-ADI+JOM+CON+GIW,0,19.37,106,0,0,6,2,false
s6_test_n6,mix,SPKLU-ADI+JOM+CON+GIW,0,25.56,82,0,0,24,9,false
s6_test_n8,mix,SPKLU-ADI+JOM+CON+GIW,0,25.81,40,0,0,36,14,false
s7_n12_spklu,mix,SPKLU-ADI+JOM+CON+GIW,0,23.45,28,0,0,50,15,false
s7_n15_spklu,mix,SPKLU-ADI+JOM+CON+GIW,0,21.5,26,0,0,60,16,false
s7_n20_spklu,mix,SPKLU-ADI+JOM+CON+GIW,0,20.22,46,0,0,54,13,false
s7_n5_spklu,mix,SPKLU-ADI+JOM+CON+GIW,0,30.36,50,0,0,32,12,false
s7_n8_spklu,mix,SPKLU-ADI+JOM+CON+GIW,0,25.81,40,0,0,36,14,false
s8_dynamic_l1_test,full_opportunity,SPKLU-ADI,0,34.48,1,0,0,0,0,true
s9a_r14_static_soc35,full_opportunity,SPKLU-ADI,0,51.59,10,0,0,0,0,true
s9b_r14_dynamic_soc35,full_opportunity,SPKLU-ADI,0,49.35,5,0,0,0,0,true
