scenario_id,total_routes,avg_headway_mean,avg_headway_std,avg_degraded_routes_per_day_mean,avg_degraded_routes_per_day_std,queue_timeouts_mean,queue_timeouts_std,total_requests_mean,total_requests_std,headway_reliable,notes
s10_dynamic_n40,20,23.82,1.62,0.00,0.00,0.00,0.00,0.00,0.00,TRUE,
s13_dynamic_v2_n40,20,23.82,1.62,0.00,0.00,0.00,0.00,0.00,0.00,TRUE,
s1_baseline_opportunity,20,null,null,20.00,0.00,0.00,0.00,0.00,0.00,TRUE,
s1_baseline_opportunity_n50,20,27.86,2.6,0.0,0.0,248.6,267.0,,,TRUE,
s2_full_depot,20,null,null,20.00,0.00,0.00,0.00,0.00,0.00,TRUE,
s3_mix_charging,20,null,null,20.00,0.00,0.00,0.00,0.00,0.00,TRUE,
s3_mix_charging_n50,20,27.86,2.6,0.0,0.0,327.8,372.0,,,TRUE,
s3b_mix_4spklu_nobus,20,50.65,4.26,18.00,0.00,0.00,0.00,0.00,0.00,TRUE,
s3b_mix_4spklu_nobus_n50,20,24.17,2.22,0.0,0.0,304.5,390.0,,,TRUE,
s4_mix_extra_bus,20,null,null,20.00,0.00,0.00,0.00,0.00,0.00,TRUE,
s4_mix_extra_bus_n50,20,23.57,2.29,0.0,0.0,387.4,432.0,,,TRUE,
s5_mix_all_spklu_extra,20,37.80,3.22,18.00,0.00,0.00,0.00,0.00,0.00,TRUE,
s5_mix_all_spklu_extra_n50,20,20.1,1.89,0.0,0.0,354.9,452.0,,,TRUE,
s6_3_n12,20,26.5,2.57,0.0,0.0,327.2,382.0,,,FALSE,
s6_3_n5,20,34.04,3.45,14.06,1.24,223.9,288.0,,,FALSE,
s6_3_n8,20,28.16,2.77,0.16,0.71,318.7,368.0,,,FALSE,
s6_3a_n2,20,34.78,10.05,18.0,0.0,97.8,152.0,,,FALSE,
s6_3b_n1,20,30.53,11.91,18.0,0.0,55.5,110.0,,,FALSE,
s6_3c_n3,20,35.42,7.77,17.12,0.59,139.5,186.0,,,FALSE,
s6_3d_n_optimal_extra,20,28.58,8.51,18.0,0.0,103.0,165.0,,,TRUE,
s6_3x_unlimited,20,24.17,2.22,0.0,0.0,304.5,390.0,,,TRUE,
s6_inf_n100,20,24.17,2.22,0.0,0.0,304.5,390.0,,,TRUE,
s7_n12_spklu,20,26.5,2.57,0.0,0.0,327.2,382.0,,,FALSE,
s7_n15_spklu,20,26.03,2.51,0.0,0.0,320.5,382.0,,,FALSE,
s7_n20_spklu,20,25.32,2.43,0.0,0.0,313.0,386.0,,,TRUE,
s7_n5_spklu,20,34.04,3.45,14.06,1.24,223.9,288.0,,,FALSE,
s7_n8_spklu,20,28.16,2.77,0.16,0.71,318.7,368.0,,,FALSE,
s15_probabilistic_1loc_n20_unseeded_historical,20,32.71,1.76,2.53,1.53,124.56,8.70,,,TRUE,"Unseeded, average-of-averages (HISTORICAL). Final version is in the seeded row."
s16_probabilistic_2loc_unseeded_historical,20,34.45,1.82,7.38,1.54,153.54,1.08,,,TRUE,"Unseeded, average-of-averages (HISTORICAL). Final version is in the seeded row."
s17_probabilistic_4loc_unseeded_historical,20,36.09,1.85,11.79,1.0,154.02,0.6,,,TRUE,"Unseeded, average-of-averages (HISTORICAL). Final version is in the seeded row."
s17b_probabilistic_4loc_prop_unseeded_historical,20,33.69,1.78,3.2,1.19,128.66,5.73,,,TRUE,"Unseeded, average-of-averages (HISTORICAL). Final version is in the seeded row."
s18_old_assumption_4loc_unseeded_historical,20,36.53,1.92,4.79,1.49,131.39,3.23,,,TRUE,"Unseeded, average-of-averages (HISTORICAL). Final version is in the seeded row."
s15_probabilistic_1loc_n20,20,32.16,2.21,2.47,1.48,124.64,8.71,261.62,7.68,TRUE,"FINAL: Seeded, average-of-averages (N=100)"
s16_probabilistic_2loc,20,35.55,2.06,6.97,1.46,0.00,0.00,0.00,0.00,TRUE,"FINAL: Seeded, average-of-averages (N=100)"
s17_probabilistic_4loc,20,40.84,2.19,11.44,1.13,0.00,0.00,0.00,0.00,FALSE,"FINAL: Seeded, average-of-averages (N=100)"
s18_old_assumption_4loc,20,39.05,1.56,4.49,1.47,0.00,0.00,0.00,0.00,TRUE,"FINAL: Seeded, average-of-averages (N=100)"
s19_probabilistic_1loc_n8,20,38.69,5.28,19.90,0.30,0.00,0.00,0.00,0.00,FALSE,"FINAL: Seeded, average-of-averages (N=100)"
s20_probabilistic_1loc_n4,20,null,null,20.00,0.00,0.00,0.00,0.00,0.00,FALSE,"FINAL: Seeded, average-of-averages (N=100). Headway NaN because ALL routes degraded every day."
s21_probabilistic_1loc_n16,20,44.78,4.68,12.73,2.02,0.00,0.00,0.00,0.00,FALSE,"FINAL: Seeded, average-of-averages (N=100)"
s22_probabilistic_1loc_n12,20,70.88,9.12,15.45,1.18,0.00,0.00,0.00,0.00,FALSE,"FINAL: Seeded, average-of-averages (N=100)"
s23_probabilistic_1loc_n18,20,36.71,2.78,8.85,3.71,0.00,0.00,0.00,0.00,TRUE,"FINAL: Seeded, average-of-averages (N=100)"
s24_probabilistic_1loc_n19,20,33.22,2.93,5.52,2.77,0.00,0.00,0.00,0.00,TRUE,"FINAL: Seeded, average-of-averages (N=100)"
