scenario_id,route_id,target_headway_min,avg_headway_mean,deviasi_menit
s17b_probabilistic_4loc_prop,1A,11,NaN,NaN
s17b_probabilistic_4loc_prop,1B,16,20.43,4.43
s17b_probabilistic_4loc_prop,2A,21,32.64,11.64
s17b_probabilistic_4loc_prop,2B,16,26.86,10.86
s17b_probabilistic_4loc_prop,3A,12,18.07,6.07
s17b_probabilistic_4loc_prop,3B,12,NaN,NaN
s17b_probabilistic_4loc_prop,4A,25,34.61,9.61
s17b_probabilistic_4loc_prop,4B,25,34.05,9.05
s17b_probabilistic_4loc_prop,5A,25,29.70,4.70
s17b_probabilistic_4loc_prop,5B,25,33.94,8.94
s17b_probabilistic_4loc_prop,6,20,30.53,10.53
s17b_probabilistic_4loc_prop,8,15,25.86,10.86
s17b_probabilistic_4loc_prop,9,20,25.16,5.16
s17b_probabilistic_4loc_prop,10,20,33.53,13.53
s17b_probabilistic_4loc_prop,11,25,28.99,3.99
s17b_probabilistic_4loc_prop,12,20,31.45,11.45
s17b_probabilistic_4loc_prop,13,37,44.02,7.02
s17b_probabilistic_4loc_prop,14,32,103.34,71.34
s17b_probabilistic_4loc_prop,L-1,45,50.61,5.61
s17b_probabilistic_4loc_prop,15,10,18.25,8.25
s28_s17b_extra_bus_scaled_infra,1A,11,17.87,6.87
s28_s17b_extra_bus_scaled_infra,1B,16,17.49,1.49
s28_s17b_extra_bus_scaled_infra,2A,21,27.41,6.41
s28_s17b_extra_bus_scaled_infra,2B,16,23.65,7.65
s28_s17b_extra_bus_scaled_infra,3A,12,16.39,4.39
s28_s17b_extra_bus_scaled_infra,3B,12,22.62,10.62
s28_s17b_extra_bus_scaled_infra,4A,25,27.57,2.57
s28_s17b_extra_bus_scaled_infra,4B,25,27.04,2.04
s28_s17b_extra_bus_scaled_infra,5A,25,23.65,-1.35
s28_s17b_extra_bus_scaled_infra,5B,25,28.25,3.25
s28_s17b_extra_bus_scaled_infra,6,20,24.82,4.82
s28_s17b_extra_bus_scaled_infra,8,15,22.06,7.06
s28_s17b_extra_bus_scaled_infra,9,20,21.32,1.32
s28_s17b_extra_bus_scaled_infra,10,20,28.13,8.13
s28_s17b_extra_bus_scaled_infra,11,25,23.16,-1.84
s28_s17b_extra_bus_scaled_infra,12,20,26.73,6.73
s28_s17b_extra_bus_scaled_infra,13,37,34.14,-2.86
s28_s17b_extra_bus_scaled_infra,14,32,62.37,30.37
s28_s17b_extra_bus_scaled_infra,L-1,45,32.79,-12.21
s28_s17b_extra_bus_scaled_infra,15,10,15.30,5.30
s30_s17b_extra_bus_buffer_mid,1A,11,NaN,NaN
s30_s17b_extra_bus_buffer_mid,1B,16,17.45,1.45
s30_s17b_extra_bus_buffer_mid,2A,21,27.42,6.42
s30_s17b_extra_bus_buffer_mid,2B,16,23.82,7.82
s30_s17b_extra_bus_buffer_mid,3A,12,16.33,4.33
s30_s17b_extra_bus_buffer_mid,3B,12,22.60,10.60
s30_s17b_extra_bus_buffer_mid,4A,25,27.61,2.61
s30_s17b_extra_bus_buffer_mid,4B,25,27.10,2.10
s30_s17b_extra_bus_buffer_mid,5A,25,23.66,-1.34
s30_s17b_extra_bus_buffer_mid,5B,25,28.05,3.05
s30_s17b_extra_bus_buffer_mid,6,20,24.64,4.64
s30_s17b_extra_bus_buffer_mid,8,15,22.05,7.05
s30_s17b_extra_bus_buffer_mid,9,20,21.24,1.24
s30_s17b_extra_bus_buffer_mid,10,20,27.98,7.98
s30_s17b_extra_bus_buffer_mid,11,25,23.21,-1.79
s30_s17b_extra_bus_buffer_mid,12,20,26.80,6.80
s30_s17b_extra_bus_buffer_mid,13,37,34.26,-2.74
s30_s17b_extra_bus_buffer_mid,14,32,82.39,50.39
s30_s17b_extra_bus_buffer_mid,L-1,45,32.71,-12.29
s30_s17b_extra_bus_buffer_mid,15,10,15.40,5.40
s31_s17b_dynamic_v1,1A,11,19.74,8.74
s31_s17b_dynamic_v1,1B,16,20.33,4.33
s31_s17b_dynamic_v1,2A,21,32.18,11.18
s31_s17b_dynamic_v1,2B,16,26.34,10.34
s31_s17b_dynamic_v1,3A,12,17.55,5.55
s31_s17b_dynamic_v1,3B,12,25.69,13.69
s31_s17b_dynamic_v1,4A,25,34.48,9.48
s31_s17b_dynamic_v1,4B,25,33.81,8.81
s31_s17b_dynamic_v1,5A,25,29.16,4.16
s31_s17b_dynamic_v1,5B,25,33.63,8.63
s31_s17b_dynamic_v1,6,20,30.50,10.50
s31_s17b_dynamic_v1,8,15,25.51,10.51
s31_s17b_dynamic_v1,9,20,24.59,4.59
s31_s17b_dynamic_v1,10,20,32.81,12.81
s31_s17b_dynamic_v1,11,25,28.61,3.61
s31_s17b_dynamic_v1,12,20,30.84,10.84
s31_s17b_dynamic_v1,13,37,44.27,7.27
s31_s17b_dynamic_v1,14,32,104.23,72.23
s31_s17b_dynamic_v1,L-1,45,50.58,5.58
s31_s17b_dynamic_v1,15,10,16.99,6.99
s32_s17b_dynamic_v2,1A,11,18.76,7.76
s32_s17b_dynamic_v2,1B,16,18.68,2.68
s32_s17b_dynamic_v2,2A,21,30.93,9.93
s32_s17b_dynamic_v2,2B,16,25.23,9.23
s32_s17b_dynamic_v2,3A,12,16.90,4.90
s32_s17b_dynamic_v2,3B,12,23.61,11.61
s32_s17b_dynamic_v2,4A,25,32.80,7.80
s32_s17b_dynamic_v2,4B,25,32.47,7.47
s32_s17b_dynamic_v2,5A,25,28.62,3.62
s32_s17b_dynamic_v2,5B,25,32.65,7.65
s32_s17b_dynamic_v2,6,20,28.41,8.41
s32_s17b_dynamic_v2,8,15,24.48,9.48
s32_s17b_dynamic_v2,9,20,23.26,3.26
s32_s17b_dynamic_v2,10,20,31.11,11.11
s32_s17b_dynamic_v2,11,25,26.54,1.54
s32_s17b_dynamic_v2,12,20,29.00,9.00
s32_s17b_dynamic_v2,13,37,37.53,0.53
s32_s17b_dynamic_v2,14,32,81.46,49.46
s32_s17b_dynamic_v2,L-1,45,47.48,2.48
s32_s17b_dynamic_v2,15,10,15.98,5.98
s33_ultimate,1A,11,19.06,8.06
s33_ultimate,1B,16,19.06,3.06
s33_ultimate,2A,21,30.96,9.96
s33_ultimate,2B,16,25.43,9.43
s33_ultimate,3A,12,17.27,5.27
s33_ultimate,3B,12,24.14,12.14
s33_ultimate,4A,25,34.53,9.53
s33_ultimate,4B,25,32.17,7.17
s33_ultimate,5A,25,29.24,4.24
s33_ultimate,5B,25,32.49,7.49
s33_ultimate,6,20,29.07,9.07
s33_ultimate,8,15,25.51,10.51
s33_ultimate,9,20,23.49,3.49
s33_ultimate,10,20,31.27,11.27
s33_ultimate,11,25,26.83,1.83
s33_ultimate,12,20,29.46,9.46
s33_ultimate,13,37,39.06,2.06
s33_ultimate,14,32,79.69,47.69
s33_ultimate,L-1,45,50.58,5.58
s33_ultimate,15,10,16.25,6.25
